Serial,Time,Number,Angle,FA R,FA T,3Beam Tilt,Beam Size,GT shift,Area,Peak Ratio,Parallelism,Absolute Center X,Absolute Center Y,Beam Center X,Beam Center Y,Peak Center X,Peak Center Y,Distance,Beam Shift R(x),Beam Shift T(y),HRim Loc X,HRim Loc Y,VRim Loc X,VRim Loc Y,HRim Value,VRim Value,Error
,18:56:59,0,16.837,16.807, 1.008, 3.434, 2.025,-0.144, 3.139,56.215,97.087, 0.000, 0.000, 0.240, 0.128, 0.563,-0.082, 0.385, 0.323,-0.210,243, 460,117, 328,40.130,43.545,1
,18:57:04,0,16.837,16.807, 1.008, 3.434, 2.025,-0.144, 3.139,56.215,97.087, 0.000, 0.000, 0.240, 0.128, 0.563,-0.082, 0.385, 0.323,-0.210,243, 460,117, 328,40.130,43.545,1
,18:57:16,0,11.862,-11.765, 1.513,172.674, 2.175, 0.070, 3.662,59.911,99.103, 0.000, 0.000,-0.232, 0.082,-0.255,-0.045, 0.129,-0.023,-0.128,172, 405,112, 345,45.679,50.655,1
,18:57:17,0,11.862,-11.765, 1.513,172.674, 2.175, 0.070, 3.662,59.911,99.103, 0.000, 0.000,-0.232, 0.082,-0.255,-0.045, 0.129,-0.023,-0.128,172, 405,112, 345,45.679,50.655,1
,18:57:18,0,11.862,-11.765, 1.513,172.674, 2.175, 0.070, 3.662,59.911,99.103, 0.000, 0.000,-0.232, 0.082,-0.255,-0.045, 0.129,-0.023,-0.128,172, 405,112, 345,45.679,50.655,1
,18:57:18,0,11.862,-11.765, 1.513,172.674, 2.175, 0.070, 3.662,59.911,99.103, 0.000, 0.000,-0.232, 0.082,-0.255,-0.045, 0.129,-0.023,-0.128,172, 405,112, 345,45.679,50.655,1
,18:57:19,0,11.862,-11.765, 1.513,172.674, 2.175, 0.070, 3.662,59.911,99.103, 0.000, 0.000,-0.232, 0.082,-0.255,-0.045, 0.129,-0.023,-0.128,172, 405,112, 345,45.679,50.655,1
,18:57:19,0,11.862,-11.765, 1.513,172.674, 2.175, 0.070, 3.662,59.911,99.103, 0.000, 0.000,-0.232, 0.082,-0.255,-0.045, 0.129,-0.023,-0.128,172, 405,112, 345,45.679,50.655,1
,18:57:19,0,11.862,-11.765, 1.513,172.674, 2.175, 0.070, 3.662,59.911,99.103, 0.000, 0.000,-0.232, 0.082,-0.255,-0.045, 0.129,-0.023,-0.128,172, 405,112, 345,45.679,50.655,1
,18:57:20,0,24.595,-24.538, 1.681,176.082, 2.183, 0.096, 3.692,60.020,96.875, 0.000, 0.000,-0.450, 0.082,-0.457,-0.060, 0.143,-0.008,-0.142,143, 376,112, 345,46.309,51.989,1
